age,trans,hazard
50,hu,0.004211232157997035
50,hd,0.00021390041536766149
50,uh,0.2154556911697421
50,ud,0.011504695759990522
51,hu,0.004471640211348332
51,hd,2.3639651842864072e-4
51,uh,0.20088955491023208
51,ud,0.012338880325430533
52,hu,0.004748150999411478
52,hd,2.6125855730166754e-4
52,uh,0.18730817948195702
52,ud,0.013233550096540928
53,hu,0.005041760259690979
53,hd,2.88735359628203e-4
53,uh,0.17464498896681085
53,ud,0.014193090745577676
54,hu,0.005353525302659903
54,hd,3.1910192248120326e-4
54,uh,0.16283790839019696
54,ud,0.015222205941915569
55,hu,0.005684568819219595
55,hd,3.5266216462825575e-4
55,uh,0.1518290594294306
55,ud,0.016325940409440985
56,hu,0.006036082923599565
56,hd,3.897519682527548e-4
56,uh,0.14156447669413402
56,ud,0.017509704655794274
57,hu,0.006409333446256383
57,hd,4.3074254057568753e-4
57,uh,0.13199384318783022
57,ud,0.0187793014946844
58,hu,0.006805664492230543
58,hd,4.7604412902226933e-4
58,uh,0.12307024365396771
58,ud,0.02014095449128856
59,hu,0.0072265032813764625
59,hd,5.261101271160638e-4
59,uh,0.11474993459727875
59,ud,0.021601338470175833
60,hu,0.007673365287895489
60,hd,5.814416121937556e-4
60,uh,0.10699212985311443
60,ud,0.02316761223530503
61,hu,0.008147859697679982
61,hd,6.425923603555579e-4
61,uh,0.09975880065361863
61,ud,0.024847453662489926
62,hu,0.008651695203120634
62,hd,7.10174388842549e-4
62,uh,0.09301448921066349
62,ud,0.026649097336355485
63,hu,0.009186686156244664
63,hd,7.848640813109316e-4
63,uh,0.08672613490173112
63,ud,0.028581374916281214
64,hu,0.009754759102342903
64,hd,8.674089573070025e-4
64,uh,0.08086291220670366
64,ud,0.030653758429205646
65,hu,0.010357959717613696
65,hd,9.586351536940199e-4
65,uh,0.07539607960112776
65,ud,0.03287640670151345
66,hu,0.010998460175806881
66,hd,0.0010594556929076101
66,uh,0.07029883866522844
66,ud,0.035260215157614135
67,hu,0.011678566970395442
67,hd,0.0011708796207911744
67,uh,0.06554620271802433
67,ud,0.03781686922932508
68,hu,0.012400729220443395
68,hd,0.001294022105465848
68,uh,0.06111487433258836
68,ud,0.040558901637871986
69,hu,0.013167547490079751
69,hd,0.0014301155983078744
69,uh,0.056983131132034036
69,ud,0.043499753829302754
70,hu,0.013981783153338308
70,hd,0.0015805221687362186
70,uh,0.05313071930639878
70,ud,0.04665384186447163
71,hu,0.014846368338086832
71,hd,0.0017467471362611197
71,uh,0.04953875432844388
71,ud,0.05003662708658628
72,hu,0.015764416484854486
72,hd,0.0019304541362277093
72,uh,0.0461896283816801
72,ud,0.053664691912730135
73,hu,0.016739233558580632
73,hd,0.002133481770037708
73,uh,0.0430669240468309
73,ud,0.05755582112089007
74,hu,0.01777432995365944
74,hd,0.002357862006490233
74,uh,0.040155333823624025
74,ud,0.06172908903095879
75,hu,0.018873433135151493
75,hd,0.0026058405184085005
75,uh,0.03744058509340732
75,ud,0.06620495300707324
76,hu,0.020040501061684014
76,hd,0.002879899158088243
76,uh,0.034909370154755745
76,ud,0.07100535373963701
77,hu,0.02127973643837717
77,hd,0.003182780796509667
77,uh,0.03254928098910342
77,ud,0.07615382279861035
78,hu,0.022595601851121864
78,hd,0.0035175167749121284
78,uh,0.030348748436622202
78,ud,0.08167559798529346
79,hu,0.023992835836709175
79,hd,0.0038874572434761303
79,uh,0.02829698548418684
79,ud,0.08759774704805767
80,hu,0.025476469946681016
80,hd,0.004296304690752343
80,uh,0.02638393438742414
80,ud,0.09394930036847922
81,hu,0.027051846866350402
81,hd,0.004748150999411478
81,uh,0.024600217367638302
81,ud,0.10076139326830373
82,hu,0.028724639654239433
82,hd,0.005247518399181385
82,uh,0.02293709064192892
82,ud,0.10806741863482931
83,hu,0.030500872171217483
83,hd,0.005799404726842141
83,uh,0.02138640156115709
83,ud,0.11590319061287879
84,hu,0.03238694077290704
84,hd,0.006409333446256383
84,uh,0.019940548645649796
84,ud,0.12430712016577938
85,hu,0.03438963734347271
85,hd,0.007083408929052125
85,uh,0.01859244432273779
85,ud,0.1333204033659494
86,hu,0.0365161737537404
86,hd,0.007828377549225773
86,uh,0.01733548018346616
86,ud,0.1429872233380929
87,hu,0.03877420783172201
87,hd,0.008651695203120634
87,uh,0.016163494588165874
87,ud,0.15335496684492853
88,hu,0.04117187093906774
88,hd,0.009561601930543505
88,uh,0.015070742462089098
88,ud,0.16447445657715495
89,hu,0.04371779725275094
89,hd,0.010567204383852655
89,uh,0.014051867133046025
89,ud,0.17640020028634001
90,hu,0.04642115485743125
90,hd,0.011678566970395442
90,uh,0.013101874072991624
90,ud,0.18919065798198212
91,hu,0.04929167876046215
91,hd,0.012906812580479873
91,uh,0.012216106414843372
91,ud,0.20290852850254412
92,hu,0.05233970594843238
92,hd,0.014264233908999256
92,uh,0.011390222124513377
92,ud,0.2176210568652329
93,hu,0.05557621261148306
93,hd,0.0157644164848545
93,uh,0.01062017271625227
93,ud,0.23340036390115143
94,hu,0.05901285366944784
94,hd,0.017422374639493515
94,uh,0.009902183406967382
94,ud,0.25032379979169617
95,hu,0.06266200474215315
95,hd,0.01925470177538692
95,uh,0.00923273461223161
95,ud,0.26847432323923676
96,hu,0.06653680671501686
96,hd,0.021279736438377175
96,uh,0.008608544693276493
96,ud,0.2879409081307704
97,hu,0.0706512130604296
97,hd,0.023517745856009107
97,uh,0.008026553870395154
97,ud,0.3088189796880199
98,hu,0.07502004008532694
98,hd,0.025991128778755358
98,uh,0.007483909223898608
98,ud,0.33121088224198114
99,hu,0.07965902028589801
99,hd,0.028724639654239433
99,uh,0.0069779507091001875
99,ud,0.3552263809249516
100,hu,0.08458485900156469
100,hd,0.031745636378067967
100,uh,0.006506198116773342
100,ud,0.3809831997393373
